MAT	<p>a88d_d2b9</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	restriction of <strong><span style="color: #007a00;">backbone</span></strong> rotation by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of disulfide bonds by special <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>
MAT	<p>a88d_2f46</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	linear sequence of <strong><span style="color: #b74300;">amino acids</span></strong> joined by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #007576;">dihedral angles</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	ionic bonds between oppositely charged <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	arrangement of many <strong><span style="color: #c80085;">protein</span></strong> domains
MAT	<p>a88d_c93a</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	creation of hydrophobic core	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	dimers, trimers, tetramers, and pentamers	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between nearby <strong><span style="color: #007a00;">backbone</span></strong> atoms in the<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
MAT	<p>a88d_a327</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	sequence of <strong><span style="color: #b74300;">amino acids</span></strong> residues in the <strong><span style="color: #c80085;">protein</span></strong> chain	<strong><span style="color: #3b7600;">secondary</span></strong>	angular orientation between adjacent <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	homo- and hetero-oligomers	<strong><span style="color: #076dad;">tertiary</span></strong>	disulfide bridges linking distant <strong><span style="color: #b74300;">amino acids</span></strong> in the same<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
MAT	<p>a88d_1051</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	locations of &alpha;-helix structures within the <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	length of the <strong><span style="color: #b74300;">amino acid</span> </strong>chain	<strong><span style="color: #076dad;">tertiary</span></strong>	disulfide bridges linking distant <strong><span style="color: #b74300;">amino acids</span></strong> in the same<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
MAT	<p>a88d_bd2a</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	arrangement of <strong><span style="color: #cc0066;">subunits</span></strong> into a <strong><span style="color: #c80085;">protein</span></strong> complex	<strong><span style="color: #076dad;">tertiary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between distant <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	&alpha;-helix structures linked by <strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #00775f;">hydrogen bonding</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #b74300;">amino acid</span> </strong>sequence in a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
MAT	<p>a88d_1e23</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	linear sequence of <strong><span style="color: #b74300;">amino acids</span></strong> joined by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	relative orientation of one <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span> </strong>to another <strong><span style="color: #c80085;">protein</span></strong> subunit	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of ionic salt bridges by charged <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	&alpha;-helix structures linked by <strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #00775f;">hydrogen bonding</span></strong>
MAT	<p>a88d_df10</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	relative orientation of one <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span> </strong>to another <strong><span style="color: #c80085;">protein</span></strong> subunit	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	formation of <strong><span style="color: #6c6c00;">peptide bonds</span></strong> to make a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	relative orientation of neighboring <strong><span style="color: #b74300;">amino acids</span></strong>
MAT	<p>a88d_17e5</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	arrangement of many <strong><span style="color: #c80085;">protein</span></strong> domains	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	formation of a &alpha;-helix within the polypeptide <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of disulfide bonds by special <strong><span style="color: #003fff;">side chains</span></strong>
MAT	<p>a88d_1d1b</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	homo- and hetero-oligomers	<strong><span style="color: #3b7600;">secondary</span></strong>	locations of &alpha;-helix structures within the <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	ionic bonds between oppositely charged <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	order of the <strong><span style="color: #b74300;">amino acids</span></strong> in a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
MAT	<p>a88d_1024</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	distant <strong><span style="color: #b74300;">amino acids</span></strong> linked by disulfide bonds	<strong><span style="color: #3b7600;">secondary</span></strong>	&beta;-strand locations within polypeptide <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	manner in which <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong> are arranged in the native <strong><span style="color: #c80085;">protein</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	length of the <strong><span style="color: #b74300;">amino acid</span> </strong>chain
MAT	<p>a88d_c83e</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	three-dimensional shape of a single<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	manner in which <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong> are arranged in the native <strong><span style="color: #c80085;">protein</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #b74300;">amino acid</span> </strong>chain length	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #00775f;">hydrogen bonding</span></strong> in &alpha;-helices
