MAT	<p>45a0_f118</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.
MAT	<p>45a0_0051</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Shearing forces from spinning blades break <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Grinding of the <strong><span style="color: #d40000;">cells</span></strong> by hand to disrupt the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells wall digestion by protein catalysts.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Gentle abrasion is applied to <strong><span style="color: #d40000;">cells</span></strong> through vortexing with glass or metal particles.
MAT	<p>45a0_9f59</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Shearing forces from spinning blades break <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Manual grinding of <strong><span style="color: #d40000;">cells</span></strong> that can take several minutes."	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Uses a pump and a Z-shaped interaction chamber to create high pressures.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells are suspended in buffers containing protein catalysts that digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.
MAT	<p>45a0_f838</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells are suspended in buffers containing protein catalysts that digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #003fff;">French Press</span></strong>	High-pressure hydraulic piston forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.
MAT	<p>45a0_1ac3</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique applies high-frequency sound waves to shatter <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Tiny glass particles are mixed and stirred to a high level of agitation.
MAT	<p>45a0_7886</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	High-frequency sound waves produce tiny bubbles that explode, producing a local shockwave.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells are suspended in buffers containing protein catalysts that digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cell suspensions are subjected to variable temperatures, resulting in rupture of the walls.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Motorized device with rotating blades that shear <strong><span style="color: #d40000;">cells</span></strong> apart.
MAT	<p>45a0_ecfb</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	Cells are disrupted by the shear force and tension caused by high-frequency sound waves.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme is commonly used to digest the <strong><span style="color: #b74300;">cell</span> </strong>wall of gram-positive bacteria.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	This technique uses extremely cold temperatures and grinding to pulverize <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Numerous samples are processed simultaneously using a bead-beating machine.
MAT	<p>45a0_b162</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Gentle abrasion is applied to <strong><span style="color: #d40000;">cells</span></strong> through vortexing with glass or metal particles.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme digests gram-positive bacterial <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique uses short bursts of ultrasonic waves to disrupt the tissue.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.
MAT	<p>45a0_c6e1</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Grinding of the <strong><span style="color: #d40000;">cells</span></strong> by hand to disrupt the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Under cold temperatures, the water inside the <strong><span style="color: #d40000;">cells</span></strong> expands into ice, causing the <strong><span style="color: #d40000;">cells</span></strong> to burst open.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.
MAT	<p>45a0_e821</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells wall digestion by protein catalysts.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Shear force from high-frequency waves disrupts <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	The <strong><span style="color: #d40000;">cells</span></strong> are disrupted by hand grinding them.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.
MAT	<p>45a0_98ce</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestive protein catalysts digest and decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are forced through a tiny hole by a high-pressure hydraulic piston.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Ice crystal expansion leads to <strong><span style="color: #b74300;">cell</span> </strong>wall disruption.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	The <strong><span style="color: #d40000;">cells</span></strong> are disrupted by hand grinding them.
MAT	<p>45a0_51a2</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	Shear force from high-frequency waves disrupts <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme is commonly used to digest the <strong><span style="color: #b74300;">cell</span> </strong>wall of gram-positive bacteria.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Cells are pushed through a Z-shaped chamber using a high-pressure pump.
MAT	<p>45a0_adbc</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	This technique involves using glass or metal particles to apply gentle abrasion while vortexing them.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A high-pressure pump pushes <strong><span style="color: #d40000;">cells</span></strong> through a Z-shaped interaction chamber.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Manual grinding of <strong><span style="color: #d40000;">cells</span></strong> that can take several minutes."	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves in short bursts are employed to disintegrate tissue.
